目錄﹕/open/always/
badtorch.c          燒完的火把          cake523.c           大                
christmas_doll.c    聖誕                darkmoon_cloak.c    闇月披風          
doll.c              替死娃娃            doll2.c             繪理香娃娃        
double_fist.c       排雲雙龍釦          dragon_mark.c       龍形項鍊          
god-benison-shield.c  神武天盾            god_mark.c          桂冠              
icearmor.c          雪羽寶甲            icesword.c          寒冰劍            
light-hands.c       玄                  lightwaist.c        鑽石腰帶          
marry_ring.c        結婚戒指            marry_ring2.c       結婚戒指          
ming_mark.c         聖─火─令          moon_mark.c         月魂之戒          
moonstaff.c         月光杖              newspaper.c         夢幻日報          
newspaper2.c        夢幻凍酸新聞報      phoenix_doll.c      火鳳凰娃娃        
redcloak.c          紅色披肩            ring2.c             探測之戒          
salon.c             彩                  scrollnote.c        卷軸小報          
sky_mark.c          天地指環            snowman_ring.c      雪人戒指          
starfrost.c         琉璃                thief_adv_mark.c    盜賊的極致        
thief_mark.c        萬能匕首            thousand-hair.c     三千              
ticket.c            夢幻獎卷            torch.c             火把              

