目錄﹕/open/world1/acme/area/npc/
acrobat.c           賣藝人              advmaster.c         蕭日山            
antelope.c          羚羊                apprentice.c        神武第三代弟子    
bandit.c            綠林大盜            bat.c               蝙輻              
bear.c              大灰熊              bonze.c             方印大師          
buffalo.c           水牛                child.c             小孩子            
chun.c              常春霖              deer.c              花鹿              
devil.c             旱魃                dog.c               野狗              
drooler.c           drooler             duan.c              段福和            
duck.c              鴨子                fanny.c             爛醉的劍客        
farmer.c            農夫                fish.c              食人魚群          
garrison.c          守城官兵            general.c           乾天將            
general2.c          坤地將              general3.c          震雷將            
general4.c          巽風將              general5.c          離火將            
general6.c          兌澤將              general7.c          坎水將            
general8.c          艮山將              guan.c              上官聚            
guard.c             護院武師            guard1.c            神武護衛          
guard2.c            神武護衛            hap.c               歐陽合            
herbalist.c         藥鋪掌櫃            hunter.c            獵戶              
k_bandit.c          金過涯              lin.c               辛若羽            
lion.c              獅子                liu.c               流無形            
maker.c             月下老人            man.c               路人              
moon.c              嫦娥                nor.c               四不像            
oldman.c            黑衣老人            oldwang.c           老王              
orangutan.c         黑猩猩              pig.c               野豬              
rabbit.c            小白兔              rankman.c           知無不解          
sbear.c             小灰熊              sciurine.c          松鼠              
shipman.c           釣客                smith.c             打鐵匠            
snake.c             小蛇                sparrow.c           麻雀              
stone.c             石丈人              strongman_15.c      壯漢              
superguard.c        錦衣衛              superguard2.c       錦衣衛            
superguard3.c       錦衣衛              tan.c               仇天錚            
taoist.c            清禪道長            traveler.c          旅人              
traveler1.c         旅人                traveler2.c         旅人              
traveler3.c         旅人                wan.c               萬金來            
woman.c             婦人                woman2.c            婦人              
woodman.c           木人                worm.c              沙蟲              
zombie.c            殭屍                
