目錄﹕/open/world1/acme/area/npc/obj/
body_pill.c         清心鍑合丹          cake1.c             紅豆月餅          
cake2.c             蛋黃月餅            cake3.c             雪餅              
choco.c             情人巧克力          firepill.c          火紅內丹          
fish.c              生魚                foot_pill.c         清心續骨丹        
furit.c             柚子果肉            god_pill.c          清心續命丸        
hand_pill.c         清心靈動丹          head_pill.c         清心醒腦丹        
leg.c               雞腿                manto.c             饅頭              
map.c               天城地圖            paper2.c            紙條              
pearl.c             夜明珠              peel.c              柚子皮            
pill.c              紅心丹              pill2.c             紫星丹            
pill3.c             碧龍丹              pill4.c             綠清丹            
pill5.c             還魂丹              plate.c             神武令牌          
pomelo.c            柚子                prawn.c             小蝦              
shawl.c             絹布                sign.c              殘破的告示牌      
soup.c              四神湯              water.c             天香甘露          
wine.c              女兒紅              
