目錄﹕/open/world1/acme/area2/npc/
aw.c                傲無悔              aw2.c               傲無痕            
bat.c               吸血蝠              bear.c              巨熊              
beasts.c            妖獸                chi.c               刀疵              
chicken.c           弱雞                child.c             小孩              
devil.c             地魔女              dog.c               瘋狗              
face.c              鬼面魔種            fate.c              秤命客            
fister.c            鬼拳無恨            general.c           乾天將            
general2.c          艮山將              general3.c          兌澤將            
general4.c          坎水將              ghost.c             厲鬼              
ghost2.c            小鬼                guard.c             家丁              
herald.c            丈運使              horse.c             黑馬              
horse2.c            白馬                ju.c                小菊              
jui.c               崇椎                lancer.c            妖槍地祇          
lee.c               李文成              lee2.c              李文恫            
lesshand.c          無頭鬼              lessname.c          劍無名            
ma.c                楊大媽              man.c               人妖              
mo.c                莫無通              monkey.c            潑猴              
shi.c               施迅                shi2.c              施無受            
si.c                度途士              staffer.c           鬼杖客            
sun.c               觴炯                tan.c               侮天              
to.c                勾魂使              to2.c               攝魄使            
tung.c              通天徹              wu.c                伍霸剛            
xie.c               天殘邪佬            yi.c                軡謚              
yi2.c               施亦歡              
