目錄﹕/open/world1/acme/cominging/npc/
censuser.c          王盛復              chief.c             百夫長            
chief2.c            千夫長              chung.c             林沖              
garrison.c          官兵                general.c           牙將              
general2.c          裨將                gou.c               顧知天            
gu.c                成谷                guard.c             帶刀護衛          
guard2.c            守衛                hing.c              朱中慶            
jailer1.c           獄卒                jailer2.c           獄卒              
jailer3.c           獄卒                jailer4.c           獄卒              
jailer5.c           獄卒                leader.c            總兵              
lord.c              把總                lu.c                成陸              
m_soldier.c         劉躍德              mouse.c             老鼠              
prisoner.c          死刑犯              soldier.c           士兵              
worker.c            工人                
