目錄﹕/open/world1/cominging/area/npc/
adventurer.c        冒險者              apprentice.c        小弟子            
cat.c               小貓                child.c             小孩              
child1.c            小孩群              cook.c              老廚              
dog.c               小狗                eqman.c             丘洛靈            
fallenangel.c       墮邪鬼              fguard.c            疾風守衛          
fseller.c           街頭小販            gateguard.c         守門守衛          
herbalist.c         草藥醫生            hero_statue.c       無名英雄雕像      
horse.c             壯碩大馬            horse_seller.c      周詳連            
left-escort.c       游機子              lovebird.c          喜鵲              
master.c            楊雙亟              mercer.c            賣布的商人        
minstrel.c          青樓女子            minstrel_bak.c      青樓女子          
mtiger.c            猛虎                pguard.c            官府守衛          
ravager.c           破壞人              rdragon.c           絞龍              
shopman.c           商人                smith.c             鐵匠              
sparrow.c           麻雀                spinner.c           劉靖文            
t_guard.c           守衛塔衛兵          teacher.c           宋文公            
thief.c             小偷                traveller.c         路人              
villager.c          傲沖村村民          waiter.c            店小二            
woman.c             婦人                yuanlieh.c          軒轅烈            

