¥Ø¿ý¡R/open/world1/ksj/east_island/npc/eq/
agrestal-grape.c    ³¥¸²µå              angry-mask.c        °­«ã­±¨ã          
armor-design-page.c  ¯}¯È±i              bamboo-blade.c      ³U¦Ë¤M            
banlo-mask.c        ¯ë­Y°­­±            bath-pool.c         ¤j¯D¦À            
big-pot.c           ¤jÁç                big-stone.c         ¥¨¥Û              
bizen-chousen-katana.c  ³Æ«eªø²î            black-tengu-cloth.c  ¤Ñª¯¸Ë§ô          
blade-wrists.c      ¦Ê¤bµÃ½ü            bogle-bead.c        §¯»î¯]            
bone-armor.c        °©¥Ò                boots-design-page.c  ¯}¯È±i            
carrion-fungus.c    ¦×ªÛ                cat-tail-waist.c    ¤C¿ß§À            
chain-surcoat.c     ÅKÂê¤æ½´            chrysoprase-earring.c  ºñ¥ÉÅè            
climb-claw.c        ¤â¥Ò¹_              cloud-halbert.c     ¶³ÆG              
coral-bracelet.c    ¬À·ä                devil-cat-mask.c    §¯¿ß­±            
douzikiri-katana.c  µ£¤l¤Á              dragon-marking-waist.c  Às¯¾¸y±a          
dragonfly-cut-pike.c  »f³M¤Á              five-snake-surcoat.c  ¤­ÀY³D©Ü­·        
flame-halbert.c     ¿V»R                food-pill.c         §LÅ¢¤Y            
forest-map.c        °­¤§´Ë¦a¹Ï          fork.c              ¨ë¤e              
four-snake-surcoat.c  ¥|ÀY³D©Ü­·          garatsupa-necklace.c  ªeµ£¥É            
genki-pill.c        ¤¸®ð¤Y              ghost-axe.c         Âù¤b°­©ò          
ghost-blade.c       »î¤M                ghost-necklace.c    ¨¸°­¥É            
ghost-pike.c        »îºj                ghost-sword.c       »î¼C              
ginseng-pill.c      ª÷çx¸É              golden-snake-waist.c  ª÷ÅìÁ¯±a          
halbert.c           ¤ùÅI                hand-dagger.c       ÅK¤â¤M            
hands-design-page.c  ¯}¯È±i              hide-bone-dagger.c  °©ÂÃ              
hide-bone-katana.c  ´c°­¤M              huge-stick.c        ¤j¤ì´Î            
hundred-bogle-necklace.c  ¦Ê°­¶µÃì            ice-bracelet.c      ³·¥ÉÅN            
ice-crystal.c       ¥ÛÅS¦B´¹            ice-halbert.c       Á÷Ï©              
ice-silk-cloth.c    ¦B³·µ·¦ç            illusive-mirror-corslet.c  Ãè                
iron-cloth-neck.c   ÅK¦çÅ@ÀV            iron-cut-dagger.c   ÅK¸H¤ú            
kiku-ichimonji-katana.c  µâ                  kikuchi-pike.c      µâ¦Àºj            
kilin-boots.c       ÄQÅï                kusanagi-sword.c    ¤ÑÂO              
leather-gloves.c    ¯î­²¤â³U            letter.c            «H                
lobster-wrists.c    Às½¼Å@¤â            master-credential.c  ·s³±¬y¬Ò¶Ç§K³\\¦Lª¬
moon-arc-staff.c    ¤ë¤ú§ú              mu-in-boots.c       ÃúÁô              
neck-design-page.c  ¯}¯È±i              ningyo-meat.c       ¤H³½¦×            
ningyo-necklace.c   ¤H³½¶µÃì            observe-necklace.c  Æ[ª«¤§Ãì          
orochi-acid.c       »k°©»Ä²G            orochi-armor-save.c  ¤Kª[              
orochi-armor.c      ¤Kª[                orochi-armor2-save.c  ¤Kª[              
orochi-armor2.c     ¤Kª[                orochi-cloak-save.c  ¤Kª[              
orochi-cloak.c      ¤Kª[                orochi-eye-armor.c  ³D                
orochi-gloves-save.c  ¤Kª[                orochi-gloves.c     ¤Kª[              
orochi-grey-head.c  ¤K§Á¤j³D            orochi-leggings-save.c  ¤K§Á              
orochi-leggings.c   ¤K§Á                orochi-mask-save.c  ¤Kª[              
orochi-mask.c       ¤Kª[                orochi-shield-save.c  ¤Kª[              
orochi-shield.c     ¤Kª[                orochi-waist-save.c  ¤Kª[              
orochi-waist.c      ¤Kª[                peach-wind-sword.c  ®ç                
pearl-earring.c     ¬Ã¯]¦Õ¹¢            perple-beads.c      Áøµµ©À¯]          
protect-amulet.c    ¥­¦wÅ@²Å            raikiri-katana.c    ¹p¤Á              
red-armor.c         ¨ªÃ´«Â¤jñZ          sakura-ranbu-katana.c  Äå¶Ã»R            
sea-urchin.c        ®üÁx                seashell-necklace.c  ®°¨©ÀV¹¢          
shi-ganrin-sword.c  ¤þ¤l                shouugan-katana.c   ¶Ç¤Ñ°ê§@          
silver-gloves.c     ¥Õ»ÈÅ¢¤â            silver-shield.c     ¬y¥ú»È¬Þ          
silver-waist.c      »È¥Ò¸y±a            stone-corslet.c     ¥ÛªO¯Ý¥Ò          
stone-shield.c      ¥Û¤ù¬Þ              surcoat-design-page.c  ¯}¯È±i            
tengu-clog.c        ¤Ñª¯¤ì®j            tengu-cloth.c       ¤Ñª¯¸Ë§ô          
tengu-mask.c        ¤Ñª¯­±¨ã            tengu-pants.c       ¤Ñª¯¿Ç            
tomb.c              ¼X¹Ó                tower.c             ÁA±æ»O            
turtle-shell-armor.c  Àt´ß¥Ò              viper-killed-katana.c  ±Ù³D¤Y            
water-pill.c        ¤î´÷¤Y              water-pot.c         ¤j¤ô¬û            
whetstone.c         ¿i¤M¥Û              wild-fruit1.c       ³¥ªG              
wild-fruit2.c       ³¥ªG                wild-fruit3.c       ³¥ªG              
wild-fruit4.c       ³¥ªG                wood-board.c        §i¥ÜµP            
wood-stick.c        ¤ì´Î                wrists-design-page.c  ¯}¯È±i            
ya-katana.c         ³¥¤Ó¤M              ya-sha-hands.c      ¥Ú®g¤â¥Ò          
yaki-onigiri.c      ±s¶ºÄ{              
