目錄﹕/open/world1/ksj/east_island/npc/
aigret.c            白鷺鷥              apeman-king.c       山崽王            
apeman-king2.c      山崽王              apprentice.c        門生              
asahi.c             秋川．旭            asahi2.c            秋川．旭          
asaka.c             日向．朝霞          autarou.c           柳生．奧太郎      
axeman.c            持斧武者            bank-keeper.c       佐佐木            
bath-lady.c         澡堂小姐            berserk-bear.c      狂暴巨熊          
berserk-deer.c      狂暴山鹿            berserk-dog.c       狂暴山犬          
berserk-huge-pig.c  狂暴大山豬          berserk-monkey.c    狂暴野猿          
berserk-pig.c       狂暴山豬            berserk-small-bear.c  狂暴小熊          
big-tengu.c         大天狗              bizen-gou.c         備前．剛          
black-tengu.c       黑天狗              blue-tengu.c        青天狗            
cat-oldwoman.c      貓婆婆              cock.c              公雞              
cow.c               乳牛                crab.c              螃蟹              
devil-ghost.c       妖魂                discipline-monk.c   宗光              
dog.c               秋田犬              dragon-tornado.c    吞天龍卷          
farmer.c            農夫                ferity-apeman.c     山崽              
fisher.c            漁民                five-head-snake.c   五頭巨蛇          
food-master.c       料理鐵人            four-head-snake.c   四頭巨蛇          
frog.c              田蛙                gaki.c              餓鬼              
garatsupa.c         河童                ghost.c             邪鬼              
golden-snake.c      赤眼                gravity-ball.c      異界魔球          
hen.c               母雞                hoshiakari.c        柳生．星明        
houjou.c            北條                human-face-bogle.c  人面犬            
karasu-tengu.c      烏鴉天狗            ken.c               柳生．筧          
komusou.c           虛無僧              ksj-mob.c           樵老的隨從        
large-tornado.c     強烈風暴            loach.c             泥鰍              
long-neck-bogle.c   長頸妖怪            mini-tornado.c      小型風暴          
mud-puppet.c        憑依泥偶            ningyo.c            人魚              
no-face-bogle.c     無臉妖怪            old-woman.c         老婆婆            
orochi-black-head.c  八岐大蛇            orochi-blue-head.c  八岐大蛇          
orochi-body.c       八岐大蛇．蛇身      orochi-fire.c       八岐烈燄          
orochi-ghost.c      武士怨靈            orochi-gold-head.c  八岐大蛇          
orochi-green-head.c  八岐大蛇            orochi-grey-head.c  八岐大蛇          
orochi-purple-head.c  八岐大蛇            orochi-red-head.c   八岐大蛇          
orochi-white-head.c  八岐大蛇            protect-ghost.c     鬼法師            
protect-tengu1.c    守護天狗            protect-tengu2.c    守護天狗          
protect-tengu3.c    守護天狗            rat.c               田鼠              
red-tengu.c         赤天狗              rounin.c            浪人              
salt-maker.c        鹽民                sim-tengu.c         白天狗            
skeleton-spider.c   骷髏\蜘蛛           small-cow.c         小乳牛            
small-fish.c        小魚                small-snake.c       小水蛇            
small-tengu.c       小天狗              snake1.c            青色大蛇          
snake2.c            黑色毒蛇            snake3.c            大斑紋蛇          
snake4.c            大花蛇              snake5.c            七尺大蛇          
spot-snake.c        班紋草蛇            stone-puppet.c      憑依石偶          
store-keeper.c      五衛門              tengu.c             天狗              
umaro.c             雪男                umbrella-bogle.c    雨傘妖怪          
villager-guard.c    守衛民兵            villager.c          村民              
warrior-ghost1.c    武士鬼魂            warrior-ghost2.c    武士鬼魂          
warrior-ghost3.c    武士鬼魂            white-tengu.c       白天狗            
woman-fisher.c      海女                yonago.c            米子              
yukionna.c          雪女                
