目錄﹕/open/world1/npc/
air_flame.c         魔炎鬥氣            beauty_ghost.c      小倩              
beng.c              閍                  bladeguard.c        帶刀護衛          
boatman.c           船老大              bone_monster.c      骸骨精            
bou.c               包達廷              bu.c                步六弧            
carp.c              鯉魚                cha_na.c            剎楠              
clam.c              蚌                  copperman.c         銅人              
cow_ghost.c         牛頭鬼              crazy_elephant.c    狂象              
dark_zombie.c       黑暗僵屍            east_master.c       謝基              
east_secretary.c    東副師              eel.c               鰻魚              
fish.c              金線魚              fisher.c            漁商              
god_leopard.c       神豹\               goldman.c           金人              
goldman2.c          白                  goldman3.c          青                
guard.c             市井無賴            guard_leader.c      王霸              
gui.c               歲氿                hang_ghost.c        吊死鬼            
hong.c              薨                  horse_ghost.c       馬面鬼            
hungry_ghost.c      餓死鬼              jacklin.c           林傑克            
lei.c               蕾                  lieh_shen.c         烈昇              
light_fish.c        玲瓏魚              lin.c               林繁榮            
mascot_lion.c       祥獅                mine_leader.c       礦工工頭          
mine_worker.c       礦工                money.c             財神              
nohead_ghost.c      無頭鬼              old_worker.c        老礦工            
pf_demon.c          豬面魔              s_guard.c           守衛石像          
s_soldier.c         石頭士兵            saint_wolf.c        聖狼              
salesman.c          行商                salesman2.c         當鋪主人          
salesman3.c         外國商人            sea_master.c        辛嚭              
seaguard.c          海政司守衛          shark.c             鯊魚              
sky_cat.c           天貓                stone_bird.c        石魔鳥            
thief.c             小偷                tiger_man.c         虎人              
tree_monster.c      樹精                tunny.c             鮪魚              
vagabond.c          市井無賴            wait_man.c          鎮民              
woman.c             婦人                wood_monster.c      木靈              
worker.c            工人                worker2.c           工頭              
worker3.c           工人                xu_kong.c           煦倥              
yu.c                余滄                yuan.c              黿                

