目錄﹕/open/world1/tmr/area/npc/
aya.c               阿雅                banker.c            寒大富            
basic_master.c      新手導師            bfish.c             大魚              
chiou.c             秋先                dog.c               野狗              
dragon.c            點液                farmer.c            農夫              
firewood.c          柴枝                fish.c              魚                
fisher.c            釣客                frog.c              田蛙              
garrison.c          守城官兵            guard.c             錢莊守衛          
j.c                 拾荒老頭            jellyfish.c         水母              
kore.c              傲過                leecharfan_22.c     李長風            
leewuda_13.c        李武達              leewuder_12.c       李武德            
man2.c              犯人                master.c            李書文            
meng.c              孟秋農              messager.c          幫會使者          
mj.c                麻將西施            mvillager.c         村民              
old-man.c           老人                purret.c            假人              
ringman.c           賭客                seller.c            小藥販            
smith.c             鐵匠                snake.c             水蛇              
too.c               阿凸                traveler.c          旅客              
uo.c                阿凹                vag.c               流氓              
waiter.c            店小二              
