目錄﹕/open/world1/tmr/area/npc/obj/
appill.c            回元丹              bag.c               水袋              
citron.c            西瓜                dice.c              骰子              
dice2.c             骰子                dragon-blood.c      點液血塊          
flower.c            夜落金錢            game.c              掌上遊戲機        
game2.c             掌上遊戲機二代      guess.c             猜數字遊戲機      
hanoi.c             河內塔遊戲機        healpill.c          生生造化丹        
manto.c             饅頭                pill.c              大補丹            
pill2.c             內息丹              pill3.c             玉靈丹            
plaster.c           狗皮膏藥            plate.c             金牌              
pot.c               大水缸              sign.c              破碎的告示牌      
soup.c              雞湯                stream.c            生生造化丹        
torch.c             火把                wine.c              百花釀            

