目錄﹕/open/world1/tmr/batogiya_dtl/npc/obj/
armor.c             青銅護甲            axe.c               哈粒剝落斧        
belt.c              厚皮腰帶            blade.c             哈粒剝落刀        
boat_ticket.c       藍海號船票          boat_ticket2.c      藍海號船票        
book.c              哈哈村通史          boots.c             厚皮鞋            
bottle.c            海洋深層水          branche.c           枯樹枝            
cloth.c             厚皮衣              dagger.c            哈粒剝落匕        
gall.c              蛇膽                gloves.c            厚皮手套          
placard.c           告示牌              placard2.c          公車站牌          
placard3.c          告示牌              proof1.c            哈哈村選舉不公證據其一
proof2.c            哈哈村選舉不公證據其二  snake_belt.c        蛇皮腰帶          
sword.c             哈粒剝落劍          taiji-sword-book.c  太極劍譜          
whip.c              哈粒剝落鞭          
