目錄﹕/open/world1/tmr/hasake/npc/obj/
bishou.c            鋼鐵匕首            cheese.c            乳酪              
chui.c              精鐵大錘            hamigua.c           哈密瓜            
illimitable-armor.c  乃窮冰甲            illimitable-helmet.c  乃窮冰盔          
jinjian.c           金匕首              jiunang.c           大酒囊            
langpi.c            灰狼皮              mabian.c            馬鞭              
madao.c             馬刀                maotan.c            毛毯              
qun.c               哈薩克襖裙          rousisuo.c          柔絲索            
shoujuan.c          手絹                shoujuan2.c         白手絹            
shuinang.c          水囊                stone1.c            牛文明墓畫像石    
stone2.c            牛文明墓畫像石      stone3.c            兩桃殺三士畫像石  
wandao.c            阿拉伯彎刀          wolf-bone.c         灰狼骨            
yangao.c            羊皮襖              yangpi.c            綿羊皮            
yinjian.c           銀匕首              
