目錄﹕/open/world2/eq/
cloth_boots_5.c     白色布鞋            cloth_boots_6.c     運動鞋            
cloth_boots_7.c     籃球鞋              cloth_cloak_3.c     大浴巾            
cloth_clothes_5.c   白襯衫              cloth_clothes_7.c   運動服            
cloth_clothes_8.c   ＮＥＴ純棉上衣      cloth_clothes_f_5.c  連衣裙            
cloth_gloves_3.c    白布手套            cloth_hat_4.c       藍色工作帽        
cloth_hat_5.c       廚師帽              cloth_hat_6.c       雙層工作帽        
cloth_pants_5.c     布短褲              cloth_pants_7.c     麻布長褲          
cloth_pants_8.c     西裝褲              cloth_pants_9.c     大火車牛仔褲      
cloth_robe_12.c     白色長袍            cloth_skirt_6.c     黑色麻布長裙      
cloth_walkshoes_6.c  休閒鞋              copper_ring.c       銅戒指            
gem_ring_1.c        珠寶戒指            glasses_2.c         太陽眼鏡          
glasses_near_2.c    近視眼鏡            glasses_night_2.c   夜視眼鏡          
glasses_old_2.c     太陽眼鏡            iron_armor_16.c     鐵護胸            
iron_armor_18.c     強化型鐵護胸        iron_armor_21.c     鐵護甲            
iron_armor_23.c     Ｃ級強化鐵甲        iron_boots_10.c     強化型四國鐵鞋    
iron_boots_9.c      四國鐵鞋            iron_helmet_8.c     鐵製頭盔          
iron_leggings_7.c   鐵護腿              iron_leggings_8.c   強化鐵護腿        
iron_roundshield_7.c  鐵圓盾              leather_boots_3.c   皮革涼鞋          
leather_boots_6.c   皮鞋                leather_boots_8.c   強化皮鞋          
leather_boots_f_5.c  皮革高跟鞋          leather_gloves_5.c  羊皮手套          
leather_leggings_4.c  皮製綁腿            life_glasses.c      生命感測鏡        
steel_boots_12.c    ＣＫ鋼靴            steel_helmet_10.c   鋼盔              
wood_armor_10.c     木片護甲            wood_armor_13.c     硬木護甲          
wood_shield_3.c     木圓盾              yip_wed_ring.c      銅戒指            

