¥Ø¿ý¡R/open/world2/npc/
basic_master.c      ¨È§J                beast_bolau_3.c     §B³Ò³¾            
beast_bug_1.c       ¤pÂÎ                beast_butterfly_1.c  ¤p½¹½º            
beast_butterfly_3.c  ¶Â»ñ½º              beast_cat_2.c       ¤pªá¿ß            
beast_cat_4.c       ¶Â¿ß                beast_cow_10.c      ¥À¤û              
beast_cow_14.c      ¤ô¤û                beast_cow_5.c       ¤p¤û              
beast_deer_15.c     ¥Õ§À³À              beast_deer_4.c      ¤p³À              
beast_deer_6.c      ªá³À                beast_deer_9.c      ¤s³À              
beast_dog_3.c       ¤p¥Õ                beast_dog_4.c       ¤p¶Â              
beast_dog_5.c       ¦Ñ¶À                beast_dove_1.c      ÂF¤l              
beast_fish_1.c      ¤j¨{³½              beast_fish_3.c      ÃU³½              
beast_frog_3.c      ºñ¥Ö«Cµì            beast_ladybug_2.c   ¤p¿]ÂÎ            
beast_luckybirda_1.c  [1;31m¬õ«a©¯¹B³¾[0m  beast_mosquito_1.c  °A¤l              
beast_owl_5.c       ¿ßÀYÆN              beast_pig_18.c      ¥À¤s½Þ            
beast_pig_2.c       ¨Å½Þ                beast_pig_3.c       ¤p¤s½Þ            
beast_pig_7.c       ³¥½Þ                beast_pig_8.c       ¥À½Þ              
beast_rat_3.c       ¦Ñ¹«                beast_roach_2.c     Á­½¸              
beast_sparrow_1.c   ³Â³¶                beast_spider_16.c   îî»jµï            
beast_spider_5.c    ¦Ç»jµï              beast_spider_8.c    ¤H­±»jµï          
beast_squirrel_3.c  ªQ¹«                beast_swallow_2.c   ¤p¿P¤l            
malo_annh_19.c      ¦w¦Ñ¤j              malo_babyruby_6.c   ¤p¯ø¤ñ            
malo_banker_15.c    »È¦æ§U²z            malo_barboss_17.c   °s©±¦ÑÁó          
malo_barcook_21.c   ©P´Â´I              malo_barlady_17.c   ªA°È¤p©j          
malo_eqboss_18.c    ¨¾¨ã©±¦ÑÁó          malo_guard_18.c     ±öÀsÂíÄµ½Ã        
malo_haoming_12.c   À³µq©ú              malo_inner_12.c     ®ÈÀ]ÂdÂi¤p©j      
malo_itemboss_17.c  ¹D¨ã©±¦ÑÁó          malo_jameschen_16.c  ³¯»Ê±]            
malo_kenny_18.c     ªÖ¥§                malo_leolee_17.c    §õÂí¦t            
malo_oldlady_9.c    ¤ý±C±C              malo_researchman1_14.c  ±d¼w·Å            
malo_shoper_19.c    °Ó©±¦ÑÁó            malo_spock_18.c     ¥v¤Ú§J            
malo_towerguard_19.c  ÁA±æ¶ðÄµ½Ã          malo_towerguard_25.c  ÁA±æ¶ð¶¤ªø        
malo_wpboss_18.c    ªZ¾¹©±¦ÑÁó          
