目錄﹕/open/world2/shengsan/aovandis/npc/eq/
aihun_robe.c        艾魂法袍            amulet9.c           護身符            
armor24.c           木製護甲            belt16.c            小皮帶            
bigshield.c         大圓盾              blackmask.c         絲襪              
boiler25.c          炒菜鍋              boots.c             普通的草靴        
boots12.c           閃電靴              boots15.c           布鞋              
cloth0.c            花格襯衫            cloth1.c            女洋裝            
cloth2.c            花襯衫              cloth20.c           運動衫            
cloth31.c           黑鷹皮衣            drangonshield.c     八龍圓盾          
glazenecklace.c     琉璃珠項鍊          gloves14.c          工作手套          
hat12.c             休閒帽              leggings19.c        護膝              
mask13.c            口罩                necklace0.c         翡翠項鍊          
pants18.c           運動短褲            patrolarmor.c       警衛盔甲          
patrolhelmet.c      警衛頭盔            proofvest.c         警衛防彈背心      
redglazedring.c     紅琉璃戒指          ring0.c             銀戒指            
ring15.c            兔子戒指            riot-shield.c       防暴盾牌          
smallshield.c       小圓盾              sunarmor.c          烈日寶甲          
sunboots.c          烈日鋼靴            suncloak.c          烈日披風          
suncloth.c          烈日戰服            towel14.c           浴巾              
typicalboot.c       制式戰鞋            typicalglove.c      制式手套          
typicalhelmet.c     制式頭盔            typicalshield.c     防暴盾牌          
typicalwrists.c     制式護臂            wrists20.c          運動護臂          

